K,MagnitudeScale,MeanMAPE,StdDevMAPE
2,0.01,6.60673e-06,5.08423e-07
2,0.1,0.000182624,3.83898e-05
2,1,0.931008,0.195387
2,10,204.938,201.4
4,0.01,6.60505e-06,5.07922e-07
4,0.1,6.41007e-06,5.79926e-07
4,1,0.134216,0.0356664
4,10,192.889,188.069
8,0.01,6.60505e-06,5.07922e-07
8,0.1,6.4123e-06,5.79018e-07
8,1,0.000336661,0.000159606
8,10,161.185,153.817
16,0.01,6.60505e-06,5.07922e-07
16,0.1,6.4123e-06,5.79018e-07
16,1,7.01905e-06,6.98323e-07
16,10,99.9681,94.6612
32,0.01,6.60505e-06,5.07922e-07
32,0.1,6.4123e-06,5.79018e-07
32,1,7.01905e-06,0.00389751
32,10,40.6415,30.8425
