K,MagnitudeScale,MeanMAPE,StdDevMAPE
2,0.01,2.5385e-05,1.79566e-05
2,0.1,0.000370954,0.00026318
2,1,1.28396,0.911911
2,10,332.929,262.09
2,100,565.64,468.151
4,0.01,2.53904e-05,1.79604e-05
4,0.1,2.50028e-05,1.76936e-05
4,1,0.423972,0.30172
4,10,330.17,260.236
4,100,562.195,465.978
8,0.01,2.53904e-05,1.79604e-05
8,0.1,2.50038e-05,1.76943e-05
8,1,0.00890428,0.00641176
8,10,321.615,254.008
8,100,551.113,457.952
16,0.01,2.53904e-05,1.79604e-05
16,0.1,2.50038e-05,1.76943e-05
16,1,0.000164221,0.000124635
16,10,288.715,228.722
16,100,509.061,425.083
32,0.01,2.53904e-05,1.79604e-05
32,0.1,2.50038e-05,1.76943e-05
32,1,30.4806,22.7319
32,10,190.209,151.053
32,100,383.099,323.134
